data_kind,size,n_ms_introsort, n_ms_quick_sort
random,1000,260166,469083
random,1100,199959,383875
random,1200,220917,425166
random,1300,245000,408834
random,1400,227583,436500
random,1500,246834,438208
random,1600,244875,465708
random,1700,260750,675583
random,1800,392833,676708
random,1900,401958,720875
random,2000,445125,762209
random,2100,462375,748833
random,2200,418250,715959
random,2300,428084,741916
random,2400,329125,343250
random,2500,501750,823958
random,2600,717250,502334
random,2700,232292,752292
random,2800,448084,792500
random,2900,467042,809042
random,3000,338334,458334
random,3100,436542,755417
random,3200,452041,775791
random,3300,480958,805542
random,3400,480917,821625
random,3500,447834,760709
random,3600,464250,795041
random,3700,477708,813292
random,3800,487708,825125
random,3900,468292,794583
random,4000,479875,820458
random,4100,503084,841500
random,4200,502084,825292
random,4300,489500,853500
random,4400,507625,837000
random,4500,501417,856500
random,4600,505875,830916
random,4700,493000,883959
random,4800,514000,865500
random,4900,527375,900750
random,5000,511750,866667
random,5100,528209,872292
random,5200,527458,905625
random,5300,552625,890875
random,5400,530625,900167
random,5500,548458,909250
random,5600,541083,884916
random,5700,545375,924500
random,5800,564834,933917
random,5900,556750,895708
random,6000,557375,905083
random,6100,564958,936208
random,6200,565666,965125
random,6300,590166,959000
random,6400,574583,969041
random,6500,592667,970625
random,6600,579917,987209
random,6700,590292,987125
random,6800,593084,987750
random,6900,598000,977750
random,7000,611875,1025750
random,7100,616625,1008667
random,7200,633042,1050292
random,7300,654750,1066792
random,7400,650083,1086208
random,7500,671542,1112166
random,7600,667000,1117042
random,7700,680708,1143541
random,7800,691000,1142250
random,7900,701459,1154667
random,8000,725459,1195792
random,8100,720541,1184791
random,8200,721125,1211208
random,8300,755500,1241625
random,8400,743708,1264125
random,8500,772834,1250542
random,8600,773458,1263500
random,8700,800250,1272417
random,8800,794333,1323166
random,8900,792166,1321666
random,9000,795250,1335500
random,9100,827459,1341708
random,9200,828542,1389625
random,9300,826250,1403792
random,9400,885583,1397250
random,9500,850125,1428334
random,9600,882291,1459875
random,9700,882500,1454833
random,9800,872458,1473958
random,9900,894750,1473792
random,10000,929833,1463208
random,10100,900125,1497958
random,10200,938625,1566584
random,10300,948542,1542417
random,10400,943333,1556084
random,10500,951083,1588958
random,10600,978292,1573750
random,10700,982667,1603375
random,10800,1014542,1651750
random,10900,997083,1668500
random,11000,1011125,1646167
random,11100,1009625,1663041
random,11200,1025417,1661792
random,11300,1064584,1728917
random,11400,1156625,1850250
random,11500,1123500,1914416
random,11600,1231584,1738334
random,11700,1077208,1829208
random,11800,1114791,1809042
random,11900,1729750,1874208
random,12000,1130625,1788250
random,12100,1136542,1877042
random,12200,1201666,1982291
random,12300,1211708,1815417
random,12400,1079375,1883333
random,12500,1111792,1937000
random,12600,1159208,2008167
random,12700,1215042,1949750
random,12800,1079167,1913584
random,12900,1227959,1970209
random,13000,1263917,1970375
random,13100,1272000,2005833
random,13200,1310500,2016875
random,13300,1310000,2028250
random,13400,1348458,1929666
random,13500,1257958,1920834
random,13600,1258333,1988917
random,13700,1286042,2033958
random,13800,1284833,2225666
random,13900,1343875,2156584
random,14000,1335208,2153875
random,14100,1218083,2004208
random,14200,1308792,2207375
random,14300,1322792,2178542
random,14400,1322209,2168417
random,14500,1370916,2223541
random,14600,1339875,2213125
random,14700,1363667,2255459
random,14800,1380375,2235750
random,14900,1420167,2261125
random,15000,1450959,2264000
random,15100,1404833,2265125
random,15200,1412750,2341292
random,15300,1448750,2302458
random,15400,1508375,2372708
random,15500,1439375,2381708
random,15600,1483375,2389625
random,15700,1465834,2378917
random,15800,1500917,2392542
random,15900,1519750,2410625
random,16000,1477750,2431083
random,16100,1552625,2473917
random,16200,1535250,2473250
random,16300,1548250,2489708
random,16400,1547750,2525666
random,16500,1651375,2553041
random,16600,1513750,2487000
random,16700,1480625,2552208
random,16800,1576916,2649458
random,16900,1559125,2499625
random,17000,1699417,2643792
random,17100,1627750,2709000
random,17200,1701792,2734708
random,17300,1715750,2711833
random,17400,1723750,2691208
random,17500,1597916,2758667
random,17600,1546291,2719042
random,17700,1839709,2730541
random,17800,1723958,2873625
random,17900,1640333,2734958
random,18000,1823833,2843667
random,18100,1788084,2901125
random,18200,1612875,2725375
random,18300,1833708,2873916
random,18400,1792375,2943167
random,18500,1719750,2883042
random,18600,1754792,2972625
random,18700,1725833,2927750
random,18800,1770125,2944334
random,18900,1782000,2946666
random,19000,1789500,3049500
random,19100,1835709,2971750
random,19200,1928667,3001958
random,19300,1848208,3101250
random,19400,1876375,3062667
random,19500,1892125,3099541
random,19600,1900708,3133875
random,19700,1894875,3128417
random,19800,1931709,3133709
random,19900,1995542,3204708
random,20000,1955875,3195542
random,20100,1940208,3224708
random,20200,2039041,3329625
random,20300,2002500,3358208
random,20400,2030125,3213375
random,20500,2056541,3277834
random,20600,2076209,3348292
random,20700,2113750,3406375
random,20800,1859250,3295542
random,20900,1923833,3124042
random,21000,1978250,3234958
random,21100,2047959,3370792
random,21200,1919791,3284500
random,21300,2198250,3320583
random,21400,1998667,3146084
random,21500,2058083,3403750
random,21600,2093542,3502667
random,21700,2056209,3353042
random,21800,2175333,3435292
random,21900,2155958,3510833
random,22000,2209459,3448375
random,22100,2195958,3497125
random,22200,2239250,3440792
random,22300,2349209,3675583
random,22400,2208958,3551167
random,22500,2208667,3534084
random,22600,2246083,3585500
random,22700,2131834,3300375
random,22800,2152750,3483250
random,22900,2237958,3583667
random,23000,2245583,3646958
random,23100,2261250,3621792
random,23200,2348000,3640209
random,23300,2315125,3739125
random,23400,2305709,3952417
random,23500,2349583,3640459
random,23600,2247625,3743792
random,23700,2332584,3827167
random,23800,2416041,3867583
random,23900,2498166,3897333
random,24000,2372083,3702625
random,24100,2344875,3760208
random,24200,2452375,3967709
random,24300,2456167,3928500
random,24400,2485208,3931958
random,24500,2499583,3913209
random,24600,2526458,3941458
random,24700,2542583,3891917
random,24800,2461833,3737500
random,24900,2563542,3952167
random,25000,2482083,3995625
random,25100,2517291,3979666
random,25200,2505334,4046375
random,25300,2520417,4017334
random,25400,2499000,4057208
random,25500,2573917,4049084
random,25600,2564500,4092833
random,25700,2569042,4098958
random,25800,2562833,4107084
random,25900,2590417,4053417
random,26000,2574875,4157416
random,26100,2575791,4123333
random,26200,2641209,4305167
random,26300,2718917,4311458
random,26400,2653583,4313292
random,26500,2565875,4007875
random,26600,2678917,4524834
random,26700,2590042,4447375
random,26800,2709250,4440083
random,26900,2628542,4285541
random,27000,2775583,4436041
random,27100,2655834,4298709
random,27200,2663584,4362625
random,27300,2665375,4374708
random,27400,2743166,4444666
random,27500,2847875,4351167
random,27600,2768750,4444916
random,27700,2757333,4503084
random,27800,2795500,4522375
random,27900,2828459,4571042
random,28000,2823083,4552125
random,28100,2836250,4598459
random,28200,2836875,4599500
random,28300,2866208,4769416
random,28400,2880125,4680625
random,28500,2854709,4825667
random,28600,2954125,4731167
random,28700,2913958,4763917
random,28800,3013125,4801708
random,28900,3099000,4707334
random,29000,3003125,4402042
random,29100,3017458,4493125
random,29200,3111750,4763500
random,29300,2754125,4707584
random,29400,2853417,4597917
random,29500,2857167,4617084
random,29600,3001542,4803334
random,29700,2932500,4931292
random,29800,2830542,4799541
random,29900,3147625,4675208
random,30000,3108000,4652416
random,30100,3085458,4751083
random,30200,3102333,4801667
random,30300,2954333,4678584
random,30400,3019042,4814500
random,30500,3076584,4865625
random,30600,3031833,4839583
random,30700,3073000,4876792
random,30800,3105167,4876083
random,30900,3122125,4934834
random,31000,3138083,5046916
random,31100,3264375,5043125
random,31200,3236750,5106875
random,31300,3284459,5072875
random,31400,3314833,5084750
random,31500,3012708,5036917
random,31600,3361834,5279209
random,31700,2891459,5072042
random,31800,3208208,5243375
random,31900,3305459,5341417
random,32000,3302792,5303458
random,32100,3273333,5307041
random,32200,3271083,5222500
random,32300,3259667,5265584
random,32400,3281416,5261458
random,32500,3270417,5400250
random,32600,3319458,5304291
random,32700,3256542,5246875
random,32800,3285208,5344375
random,32900,3396708,5319500
random,33000,3345167,5386250
random,33100,3365959,5467250
random,33200,3496958,5400750
random,33300,3205833,5249125
random,33400,3396083,5633000
random,33500,3485542,5650500
random,33600,3481959,5356791
random,33700,3187625,5530250
random,33800,3557208,5609750
random,33900,3567459,5588042
random,34000,3645750,5632125
random,34100,3474000,5389875
random,34200,3496083,5659208
random,34300,3482250,5580625
random,34400,3489500,5616208
random,34500,3558417,5798292
random,34600,3538500,5617167
random,34700,3475166,5678041
random,34800,3571667,5665292
random,34900,3519583,5731708
random,35000,3597417,5658875
random,35100,3645792,5765584
random,35200,3633750,5570750
random,35300,3619334,5702375
random,35400,3670833,5887209
random,35500,3556416,5911833
random,35600,3663417,5695625
random,35700,3670375,5778583
random,35800,3640250,5930083
random,35900,3663333,5962750
random,36000,3835417,5973125
random,36100,3676083,5861584
random,36200,3646584,5887750
random,36300,3715375,5909834
random,36400,3707000,5860333
random,36500,3779291,5974417
random,36600,3780583,5958625
random,36700,3699166,5990750
random,36800,3689500,5952792
random,36900,3802084,5969375
random,37000,3958708,6167417
random,37100,3922750,5706708
random,37200,3700208,6006958
random,37300,3856917,6122917
random,37400,3784667,6027083
random,37500,3804541,6251916
random,37600,3916125,6268708
random,37700,4069041,6297833
random,37800,4021125,6171125
random,37900,3914167,6216625
random,38000,3804959,6246083
random,38100,3754458,6221917
random,38200,3895458,6267292
random,38300,3897875,6292084
random,38400,4011709,6368250
random,38500,4060458,6462875
random,38600,4009792,6365584
random,38700,3980083,6384375
random,38800,4100000,6628709
random,38900,4159875,6627750
random,39000,4067541,6271833
random,39100,3979833,6481084
random,39200,3919125,6357083
random,39300,4019625,6459917
random,39400,3988584,6492708
random,39500,4003458,6478250
random,39600,4082792,6373083
random,39700,4080166,6359000
random,39800,4190042,6460334
random,39900,4067875,6417500
random,40000,4196083,6394459
random,40100,4140959,6428750
random,40200,4137500,6449417
random,40300,4117542,6510625
random,40400,4200167,6461834
random,40500,4226250,6707542
random,40600,4315584,6823209
random,40700,3993250,6446833
random,40800,4406583,6840500
random,40900,4340750,6776959
random,41000,4173250,6593791
random,41100,4370750,6562875
random,41200,4234834,6909542
random,41300,4291875,6909834
random,41400,4319417,6854750
random,41500,4358500,6818500
random,41600,4346750,6847292
random,41700,4297167,6877375
random,41800,4297666,6764542
random,41900,4350458,6889792
random,42000,4333250,6913083
random,42100,4396292,7060917
random,42200,4483416,6886458
random,42300,4239083,6876834
random,42400,4425250,7166041
random,42500,4395541,6947500
random,42600,4249291,6945958
random,42700,4416833,7124875
random,42800,4427417,7307625
random,42900,4475250,7304833
random,43000,4502416,7143833
random,43100,4465083,7226458
random,43200,4488833,7191083
random,43300,4453208,7223292
random,43400,4490792,7190542
random,43500,4566459,7216875
random,43600,4544333,7334125
random,43700,4613000,7533125
random,43800,4559833,7136125
random,43900,4756167,7195791
random,44000,4725875,7316333
random,44100,4785125,7152208
random,44200,4562500,7300167
random,44300,4486125,7339333
random,44400,4468083,7176625
random,44500,4626416,7175958
random,44600,4683417,7181208
random,44700,4764917,7255458
random,44800,4691375,7270834
random,44900,4754834,7251750
random,45000,4773417,7210792
random,45100,4728458,7270125
random,45200,4769208,7300500
random,45300,5025416,7080375
random,45400,4617083,7220334
random,45500,4639542,7500625
random,45600,4827333,7504666
random,45700,4545125,7186292
random,45800,4728625,7288375
random,45900,4815875,7475709
random,46000,4756583,7533250
random,46100,4717959,7509083
random,46200,4693250,7520834
random,46300,4827083,7641792
random,46400,4751083,7608541
random,46500,4758166,7682542
random,46600,4797417,7694167
random,46700,4786375,7932083
random,46800,5016708,7743333
random,46900,4876792,7710167
random,47000,5091417,7822792
random,47100,5052959,7911667
random,47200,4995583,8026334
random,47300,5124459,8034625
random,47400,5167666,8057417
random,47500,4975291,7875125
random,47600,4977208,7922500
random,47700,5062042,7894833
random,47800,5080333,7926667
random,47900,4988500,7889667
random,48000,5101209,7931250
random,48100,5079750,8157875
random,48200,5349584,8078833
random,48300,5261708,8303250
random,48400,5191750,8285875
random,48500,5163375,8261625
random,48600,5263500,8367500
random,48700,5299208,7784500
random,48800,5197542,8075250
random,48900,5068208,8073250
random,49000,5063917,8146292
random,49100,5031000,8190416
random,49200,5052583,8234583
random,49300,5143250,8337958
random,49400,5233416,8377708
random,49500,5295000,8275750
random,49600,5317500,8231458
random,49700,5334500,8195792
random,49800,5324792,8529792
random,49900,5319333,8512042
random,50000,5389250,8098416
random,50100,5270375,8299041
random,50200,5404167,8131958
random,50300,5460292,8272584
random,50400,5411125,8373667
random,50500,5341792,8213000
random,50600,5359250,8269083
random,50700,5331291,8170958
random,50800,5479833,8758792
random,50900,5487167,8349458
random,51000,5422125,8564958
random,51100,5603792,8729500
random,51200,5294333,8592333
random,51300,5539166,8722250
random,51400,5371667,8271542
random,51500,5366500,8538125
random,51600,5471542,8561709
random,51700,5452625,8569000
random,51800,5533458,8658750
random,51900,5541042,8657250
random,52000,5530333,8707958
random,52100,5448083,8902792
random,52200,5587583,8859417
random,52300,5590000,8302709
random,52400,5581375,8545625
random,52500,5583792,9014667
random,52600,5673459,8436792
random,52700,5675125,8412083
random,52800,5430375,8493875
random,52900,5461916,8568750
random,53000,5458458,8576750
random,53100,5541541,8607250
random,53200,5670791,8569667
random,53300,5742291,8654875
random,53400,5810042,8780375
random,53500,5883167,8884417
random,53600,5827708,8813500
random,53700,5697583,8736042
random,53800,5691791,9169916
random,53900,5904541,8850625
random,54000,5716458,8964583
random,54100,5757917,8924959
random,54200,5746541,8888666
random,54300,5817958,8918000
random,54400,5854209,9059250
random,54500,5757833,9194291
random,54600,5824917,9016792
random,54700,5893167,9113541
random,54800,5631875,9258833
random,54900,5865833,9282875
random,55000,5630917,9223667
random,55100,5551167,9096458
random,55200,5988875,9402459
random,55300,5833125,9161041
random,55400,5872500,9286708
random,55500,5907709,9155792
random,55600,5873334,9229542
random,55700,5879958,9105791
random,55800,5655208,9145042
random,55900,5803459,9403625
random,56000,6101917,10839542
random,56100,6335500,9731625
random,56200,6320292,10073292
random,56300,6217916,9827000
random,56400,6267500,9952334
random,56500,6232917,9584167
random,56600,6266042,9573750
random,56700,6272250,9822500
random,56800,6317083,9773500
random,56900,6343458,9887875
random,57000,6274333,9877375
random,57100,6480459,9979958
random,57200,6336291,10061625
random,57300,6365250,9847625
random,57400,6318792,9925750
random,57500,6466000,9925333
random,57600,6257167,9799083
random,57700,6115083,9896959
random,57800,6105250,9785084
random,57900,6108542,9812250
random,58000,6258875,9754166
random,58100,6191542,9861166
random,58200,6206917,9872375
random,58300,6089000,10045084
random,58400,6068625,9805708
random,58500,6260417,9804000
random,58600,6373834,9684583
random,58700,6153917,9788792
random,58800,6109500,9795917
random,58900,6169375,9835541
random,59000,6138042,9768792
random,59100,6162125,9882375
random,59200,6060709,9854042
random,59300,6126584,9981834
random,59400,6423167,10198084
random,59500,6300375,9776416
random,59600,6364750,10046708
random,59700,6385166,10006542
random,59800,6348458,9802583
random,59900,6348416,9865750
random,60000,6372917,9978459
random,60100,6483875,9959416
random,60200,6418792,10022833
random,60300,6451333,10067916
random,60400,6380833,10187125
random,60500,6403125,9962125
random,60600,6217958,10191084
random,60700,6383333,10306250
random,60800,6477667,10377041
random,60900,6620500,9936208
random,61000,6536084,9966334
random,61100,6311833,10059166
random,61200,6397250,9991541
random,61300,6354459,9938167
random,61400,6382000,10061667
random,61500,6392458,10249541
random,61600,6543833,10182250
random,61700,6709209,10299917
random,61800,6528000,10697834
random,61900,6601875,10138250
random,62000,6500125,10110542
random,62100,6502166,10118542
random,62200,6630875,10531250
random,62300,6681291,10540791
random,62400,6664042,10373167
random,62500,6703958,10489500
random,62600,6871666,10781541
random,62700,6946875,10774417
random,62800,6540792,10535834
random,62900,6834958,10476917
random,63000,6699000,10588459
random,63100,7012750,10674000
random,63200,6851417,10549458
random,63300,6930042,10655417
random,63400,6910417,10871833
random,63500,6884500,10586084
random,63600,6762541,10571416
random,63700,6913500,10724250
random,63800,6821000,10950792
random,63900,6739042,10509667
random,64000,7104208,10572416
random,64100,7108583,10789916
random,64200,7023625,10487625
random,64300,6517125,10847292
random,64400,6859833,10917334
random,64500,6923750,10797666
random,64600,6855584,10727042
random,64700,6960958,10770875
random,64800,7218791,10886500
random,64900,7112000,10907625
random,65000,7090334,11057416
random,65100,6974666,10610958
random,65200,7083542,10820584
random,65300,6989583,10968791
random,65400,7030667,11065917
random,65500,6705625,10833584
random,65600,6850292,10971333
random,65700,6915708,10996291
random,65800,6584167,10966917
random,65900,7117834,11132750
random,66000,7159417,11171791
random,66100,7188042,11065750
random,66200,6813583,11271833
random,66300,6893958,10817583
random,66400,7083125,10906958
random,66500,7268458,11230958
random,66600,7208084,11140583
random,66700,7173084,11211750
random,66800,7256791,11388083
random,66900,7417250,11569917
random,67000,6986500,11555334
random,67100,7022125,11167084
random,67200,7183875,11543000
random,67300,7028250,11302833
random,67400,7303250,11353208
random,67500,7359583,11475792
random,67600,7332875,11378500
random,67700,7343458,11516208
random,67800,7407583,11789958
random,67900,7572875,11777458
random,68000,7650875,11754166
random,68100,7474542,11434084
random,68200,7328666,11542500
random,68300,7229625,11512917
random,68400,7089208,11496541
random,68500,7138417,11654417
random,68600,7187500,11730208
random,68700,7106333,11747333
random,68800,7386041,12005333
random,68900,7413375,11814458
random,69000,7462959,12005791
random,69100,7602292,11779084
random,69200,7491042,11806250
random,69300,7428708,11731791
random,69400,7488708,11660250
random,69500,7383750,11528333
random,69600,7669333,11709500
random,69700,7606209,11675666
random,69800,7567083,11580792
random,69900,7678083,12096917
random,70000,7631375,12143000
random,70100,7582708,12189916
random,70200,7388666,11840583
random,70300,7557916,11950083
random,70400,7534208,11903208
random,70500,7756958,11926000
random,70600,7564500,11929667
random,70700,7667792,12038375
random,70800,7549750,11800000
random,70900,7738917,12040625
random,71000,7867083,12016375
random,71100,7923541,12143458
random,71200,7513042,11952292
random,71300,7453084,12074542
random,71400,7564250,12024500
random,71500,7582625,11980917
random,71600,7431833,12081041
random,71700,7753375,12260792
random,71800,7994542,12470209
random,71900,7869958,12260084
random,72000,7985625,12320125
random,72100,8017709,12386625
random,72200,7821875,12262375
random,72300,7805166,12182833
random,72400,7887500,12105250
random,72500,7826000,12121917
random,72600,7809500,12347250
random,72700,8048875,12321958
random,72800,7699875,12207292
random,72900,8001375,12156709
random,73000,7927417,12126958
random,73100,7652417,12524083
random,73200,7726042,12585667
random,73300,7861500,12568875
random,73400,8005042,12626625
random,73500,7947208,12843917
random,73600,8092209,12948625
random,73700,8195500,12764416
random,73800,8007167,12436958
random,73900,8139292,12379292
random,74000,8091250,12471208
random,74100,8011417,12558041
random,74200,7985708,12568292
random,74300,8090083,12534500
random,74400,8014583,12922916
random,74500,8278167,12811958
random,74600,8217292,12888833
random,74700,8232291,12912542
random,74800,8202583,12716834
random,74900,8187917,12643209
random,75000,8175000,12606375
random,75100,8216125,12673208
random,75200,8217875,12723583
random,75300,8202417,13045042
random,75400,8436958,13095916
random,75500,8258458,12948042
random,75600,8219917,13087959
random,75700,8157833,12761916
random,75800,8246958,12878042
random,75900,8261542,12692834
random,76000,8269333,12921833
random,76100,8332834,12872750
random,76200,8397166,12895416
random,76300,8279167,12790625
random,76400,8429417,12778834
random,76500,8649208,12787750
random,76600,8270208,12844916
random,76700,8214917,12765125
random,76800,8335541,12652458
random,76900,8433208,12730209
random,77000,8286834,12992208
random,77100,8614625,13312458
random,77200,8550750,12936250
random,77300,8539875,13402166
random,77400,8585417,13150709
random,77500,8492750,12999083
random,77600,8266250,13067000
random,77700,8489542,13093500
random,77800,8471333,13213334
random,77900,8429084,13089542
random,78000,8511250,12855375
random,78100,8202833,13087750
random,78200,8292125,13479208
random,78300,8546416,13120208
random,78400,8174708,12870708
random,78500,8175834,13020459
random,78600,8321958,13047209
random,78700,8459459,13005958
random,78800,8449667,13272458
random,78900,8763291,13687833
random,79000,8862416,13832166
random,79100,8713917,13077500
random,79200,8607166,13511166
random,79300,8774375,13373833
random,79400,8663292,13351459
random,79500,8632500,13397125
random,79600,8653333,13334084
random,79700,8815791,13468041
random,79800,8604083,13586250
random,79900,8645291,13044625
random,80000,8639542,13444459
random,80100,8469250,13359084
random,80200,8502792,13695000
random,80300,8513458,13472167
random,80400,8581833,13511708
random,80500,8533208,13527209
